scan,continuous integration,automated deployment,test automation,provisioning,architecture
target, 80, 80, 60, 80, 60
final, 60, 80, 60, 70, 40
intermediate, 40, 70, 40, 40, 30
initial, 30, 30, 10, 30, 30
